,phenovaluecount,prephenovalue,postphenovalue
174,1,My feet swell when I eat MSG so I stay away from it.,x
175,1,like salt,x
176,1,My feet swell when i eat msg so i stay away from it.,x
177,1,I don't eat MSG,x
178,1,initially pleasant bad aftertaste,x
179,1,no taste,x
180,1,bad,x
181,1,what is msg,x
182,Phenotype,Boldness type,x
183,6236,-,x
184,92,I am not bald,x
185,11,Front and rear,x
186,11,Hey theres one of your bugs boldness =baldness ??? me im not bald at all,x
187,11,Average,x
188,10,Mid-frontal,x
189,8,No I'm pretty timid not bold ),x
190,7,Rear,x
191,6,No i'm pretty timid not bold ),x
192,3,Arial,x
193,3,I'm not very bold,x
194,2,front and rear,x
195,2,Bald,x
196,1,rear,x
197,1,mid-frontal,x
198,1,as bold but not as bald as an eagle,x
199,Phenotype,Lynch Syndrome,x
200,6364,-,x
201,24,Not dianosed or tested,x
202,8,Unknown,x
203,4,Genetically yes physically no,x
204,2,Yes,x
205,2,No,x
206,1,not dianosed or tested,x
207,Phenotype,Early Onset Heart Disease,x
208,6373,-,x
209,17,No,x
210,5,N/a,x
211,4,Yes,x
212,1,Rs2383206(gg) rs2383207(gg) rs5174(aa)  rs17228212(ct) rs4977574(gg),x
213,1,rs2383206(GG) rs2383207(GG) rs5174(AA)  rs17228212(CT) rs4977574(GG),x
214,1,yes,x
215,1,nan,x
216,1,sherylclyde@gmail.com,x
217,1,Sherylclyde@gmail.com,x
218,Phenotype,black,x
219,6365,-,x
220,22,No,x
221,9,White female,x
222,4,Asked and answered,x
223,1,mostly Eurasian female with a tiny bit of north African in me,x
224,1,white female,x
225,1,Latin American White ,x
226,1,Mostly eurasian female with a tiny bit of north african in me,x
227,1,Blasian,x
228,Phenotype,Interstitial cystitis,x
229,6367,-,x
230,29,No,x
231,7,Yes ,x
232,1,No but my daughter inherited it.,x
233,1,susceptible to urine infections as was my mother and now my 2 granddaughters but infection always present,x
234,Phenotype,Jewish Ancestry,x
235,6091,-,x
236,122,No,x
237,39,Unknown,x
238,36,Yes,x
239,32,Undocumented but share genetic markers with some ashkenazi jews,x
240,12,Ashkenazi,x
241,9,1% ashkenazi,x
242,7,.1%,x
243,6,25%,x
244,5,3% ashkenazi,x
245,5,50%,x
246,4,5% Ashkenazi,x
247,4,< .1%,x
248,4,I'm trying to figure that out from my dna results.,x
249,3,.4%,x
250,3,.3%,x
251,3,1.5% ashkenazi,x
252,2,GG,x
253,2,44.3% ashkenazi,x
254,2,yes,x
255,2,31%,x
256,2,2% Ashkenazi,x
257,1,25% Ashkenazi,x
258,1,2% ashkenazi,x
259,1,25% ashkenazi,x
260,1,3% Ashkenazi,x
261,1,I'm trying to figure that out from my DNA results.,x
262,1,1.8%,x
263,1,Yes ,x
264,1,1.5% Ashkenazi,x
265,1,68% Ashkenazi,x
266,1,17.5% ashkenazi,x
267,Phenotype,Response to Enbrel,x
268,6354,-,x
269,51,I don't know,x
270,Phenotype,Bicuspid aortic valve,x
271,6378,-,x
272,24,Normal,x
273,2,Mild regurgitation.,x
274,1,Associated aortic aneurysm,x
275,Phenotype,Hemochromotosis,x
276,6363,-,x
277,20,None,x
278,10,None but variant present,x
279,8,Hemochromotisis,x
280,1,none,x
281,1,hemochromotisis,x
282,1,none but variant present,x
283,1,One copy of H63D - not affected,x
284,Phenotype,ACT science,x
285,6386,-,x
286,9,Didn't take,x
287,3,28,x
288,2,36,x
289,1,20,x
290,1,29,x
291,1,I teach it,x
292,1,23,x
293,1,34,x
294,Phenotype,Hypomagnesemia,x
295,6370,-,x
296,30,No,x
297,5,Yes,x
298,Phenotype,ACT math,x
299,6375,-,x
300,8,Don't remember,x
301,6,31,x
302,4,N/a,x
303,2,24,x
304,2,27,x
305,2,23,x
306,2,35,x
307,1,nan,x
308,1,28,x
309,1,0,x
310,1,26,x
311,Phenotype,12,x
312,6385,-,x
313,18,Huh?,x
314,1,11,x
315,1,12,x
316,Phenotype,Prolapsed Organ,x
317,6374,-,x
318,24,None,x
319,2,Yes uterus.,x
320,1,none,x
321,1,Yes Uterus.,x
322,1,One of my children has recurrent rectal prolapse of childhood,x
323,1,Yes.,x
324,1,possible,x
325,Phenotype,vi/vim or Emacs,x
326,6372,-,x
327,19,Vim,x
328,5,Not a phenotype,x
329,4,Nano,x
330,3,NEdit,x
331,1,ee,x
332,1,Ee,x
333,Phenotype,Heart Problems - Long QT Syndrome,x
334,6388,-,x
335,7,Not diagnosed as such ,x
336,5,Rs10494366(tt),x
337,2,rs12143842 rs179405 rs17061696,x
338,1,GT,x
339,1,rs10494366(TT),x
340,1,No,x
341,Phenotype,chronically sore neck glands,chronically sore neck glands
342,6359,-,-
343,33,No,No
344,7,Yes almost always,Yes
345,1,no,No
346,1,yes almost always,Yes
347,1,not sore but enlarged for decades,U
348,1,in my youth but not since moving to a warmer climate,U
349,1,Regular flares -seems to especially occur when having histamine response or during PMS,U
350,1,Not sore but enlarged for decades,U
351,Phenotype,Urticaria,x
352,6376,-,x
353,10,None,x
354,9,Yes,x
355,5,No idea,x
356,1,none,x
357,1,Frequent Allergic Urticaria,x
358,1,Hot and cold,x
359,1,yes,x
360,1,Frequent allergic urticaria,x
361,Phenotype,R1b1a2a1a1b,x
362,6293,-,x
363,55,I'm a female,x
364,18,No,x
365,12,R1b1b2a1a2f*,x
366,5,R1b1b2a1a,x
367,5,I do not know,x
368,4,R1b1a2a1a1c2b2a1,x
369,2,R1b1b2a1a1d,x
370,2,?????? you ask me to upload my file here you should know the fucking answers,x
371,2,R1b1b2a1a2d,x
372,1,R1b1a2a1a1b*,x
373,1,R1b1a2a1a1c2b1,x
374,1,R1b1b2a1a2f,x
375,1,r-Z16270,x
376,1,R1b1a1a2a1a1c2b1,x
377,1,R1b1a2a1a2c1f2,x
378,1,no am I1,x
379,Phenotype,ACT reading,x
380,6377,-,x
381,11,Didn't take,x
382,7,Don't remember,x
383,4,30,x
384,4,36,x
385,2,27,x
386,Phenotype,Cramps,x
387,6259,-,x
388,33,Rarely,x
389,27,Monthly,x
390,24,Leg menstrual or stomach?  the question is too vague.,x
391,18,Foot cramps!,x
392,9,Very bad when young not now,x
393,8,Weekly,x
394,5,Semi-annually usually foot arch,x
395,5,Calf and hamstrings about once a week,x
396,4,Never,x
397,3,First few periods then never again.,x
398,2,Leg foot intermittently and abdominal daily,x
399,1,very bad when young not now,x
400,1,Leg menstrual or stomach?  The question is too vague.,x
401,1,leg foot intermittently and abdominal daily,x
402,1,severe menstrual til about 18 legs toda,x
403,1,Quads bi-anually,x
404,1,Severe menstrual til about 18 legs toda,x
405,1,Very bad before my hysterectomy ,x
406,1,severe menstrual,x
407,Phenotype,Number of Neanderthal variants,x
408,6354,-,x
409,14,Unknown,x
410,4,240,x
411,4,279,x
412,4,290,x
413,3,This is a genotype not a phenotype,x
414,3,269,x
415,2,271,x
416,2,296,x
417,2,249,x
418,2,unknown,x
419,1,303,x
420,1,272,x
421,1,304,x
422,1,209,x
423,1,330,x
424,1,298,x
425,1,301,x
426,1,264,x
427,1,255,x
428,1,328,x
429,1,238,x
430,Phenotype,Dental decay,Dental decay
431,6330,-,-
432,14,Yes high rate caries,Yes
433,14,Early and chronic dental issues including broken teeth. receding gums that bleed and a bony growth in my lower jaw. ,Yes
434,9,None,No
435,9,No cavities since childhood (baby teeth),No
436,7,A few cavities in childhood and early adulthood,Yes
437,6,Many cavities as a child few in adulthood,Yes
438,4,Some cavities as a child few in adulthood,Yes
439,3,No fillings as a child - fillings from age 30 onwards,U
440,2,yes high rate caries,Yes
441,2,Many cavities as a child none in adulthood,U
442,2,None as a child to young adulthood caries present now,U
443,2,Few cavities in childhood many in adulthood,Yes
444,1,none,No
445,Phenotype,Miscarriage/Spontaneous Abortion,x
446,6351,-,x
447,16,Yes,x
448,14,Multiple miscarriages ,x
449,11,None,x
450,5,N/a,x
451,4,Male,x
452,1,none,x
453,1,Multiple Miscarriages ,x
454,1,Genetic predisposition ,x
455,1,nan,x
456,Phenotype,Thrombosis,x
457,6380,-,x
458,15,None,x
459,2,Svt history,x
460,2,None / but high risk dvt,x
461,1,none,x
462,1,None / but high risk DVT,x
463,1,History of DVT & PE,x
464,1,svt history,x
465,1,Yes,x
466,1,prothrombin G2021A gene. No blood clots but my daughter gas the same gene and had one while pregnant,x
467,Phenotype,Resistance To Infectious Disease,x
468,6365,-,x
469,9,This is not a phenotype,x
470,6,Rs8177374(cc) less susceptible to infection,x
471,5,Seem to have resistance to influenza,x
472,4,Rs8177374(tt),x
473,3,More susceptible to infections and viruses,x
474,3,Less susceptible,x
475,2,Rs8177374(ct),x
476,2,Never had strep throat,x
477,1,Rs8177374 T/T,x
478,1,rs8177374(TT),x
479,1,No idea,x
480,1,never had strep throat,x
481,1,rs8177374(CC) less susceptible to infection,x
482,1,NO IDEA,x
483,Phenotype,Enhanced Hippocampal Volume,x
484,6386,-,x
485,7,Yes,x
486,4,Moderate rs7294919(ct),x
487,2,Rs7294919(tt),x
488,1,rs7294919(tt),x
489,1,Moderate rs7294919(CT),x
490,1,TC,x
491,1,nan,x
492,1,N/a,x
493,1,rs10784502(CC),x
494,Phenotype,Significantly increased Risk of Heart Disease,x
495,6375,-,x
496,7,I don't know,x
497,6,Rs2383206(gg),x
498,6,Rs2383206(ag),x
499,4,I have had heart attacks but dont know what you are asking,x
500,3,This is a genotype not a phenotype,x
501,2,i have had hert attacks but dont know what you are asking,x
502,1,rs2383206(GG),x
503,1,rs2383206(ag),x
504,Phenotype,Amount of Body Hair (Male),x
505,6347,-,x
506,24,Little hair,x
507,17,Very hairy,x
508,5,N/a female,x
509,3,Very Hairy,x
510,3,Only fine body hair,x
511,2,Little hair when I was young lots of it past 45 years old,x
512,1,N/A female,x
513,1,little hair,x
514,1,only fine body hair,x
515,1,Fairly thick covers my entire body,x
516,Phenotype,Morton's Toe,Morton's Toe
517,6191,-,-
518,90,No,No
519,46,Second toe longer,U
520,43,Yes,Yes
521,15,Do not have this condition,U
522,9,Second toe longer but same length as toe in relaxed position (toes don't stay straight),U
523,5,Second Toe Longer,U
524,5,yes,Yes
525,1,no,No
526,Phenotype,Pressure Sensitivity of the Ear,x
527,6337,-,x
528,42,High,x
529,20,Medium,x
530,3,Yes,x
531,2,No,x
532,1,yes,x
533,Phenotype,"Dolichocephaly: Disproportionately Long, Narrow Head &  Neanderthal rs12416000(A;G)",x
534,6365,-,x
535,34,No,x
536,4,Don't understand the question fully,x
537,2,Yes,x
538,Phenotype,Neanderthal,x
539,6119,-,x
540,27,2.8 %,x
541,25,2.7%,x
542,17,3.0% or 95th,x
543,16,2.6% or 54th percentile,x
544,13,2.9%,x
545,12, 2.9% at 23andme,x
546,12,2.5% at 23andme,x
547,11,3.1%,x
548,11,2.4%,x
549,11,3.2% 99th percentile of northern europeans,x
550,10,Have no idea,x
551,10,I had zero %,x
552,9,3.0% (96th percentile) - @23andme,x
553,8,3.1% at 23andme,x
554,7,2.6% 65th percentile,x
555,6,2.2%,x
556,6,<2%,x
557,5,2.6%,x
558,5,1.2,x
559,5,2.5% at 23andMe,x
560,4,Neanderthal ancestry ,x
561,4,2.3%,x
562,4,297 neanderthal variants ,x
563,4,No rs12416000 (GG),x
564,3,1.3% at 23andme,x
565,3,1.8%,x
566,3,4%,x
567,3,269 variants,x
568,3,27 %,x
569,2,272 variants,x
570,2,3.3%,x
571,2,264 variants,x
572,2,288,x
573,2,3.5%,x
574,1,0.34%,x
575,1,305 neanderthal variants detected (at 23andme),x
576,1,260 variants,x
577,1,286 variants,x
578,1,294 Confirmed variants 76th percentile (roughly 2.7%)  ~ 23andMe,x
579,1,294 variants,x
580,1,314 variants,x
581,1,2.7% @ 76th i am southern european,x
582,1,21% precentile 23&me 255 variants,x
583,1,50% 23andme,x
584,1,2.5%,x
585,1,Yes rs12416000(AG),x
586,1,6 out of 22 SNPs(Promethease report),x
587,1,2.3% at 23andme,x
588,1,per interpretome 10 snps,x
589,1,2.6% or 27th percentile,x
590,1,2.9% Geno2,x
591,1, 2.9% at 23andMe,x
592,1,224 variants ,x
593,Phenotype,Webbed toes,x
594,6089,-,x
595,206,None,x
596,53,No,x
597,35,Second and third toes both feet,x
598,16,Not webbed,x
599,2,Second and third toes left foot,x
600,1,non,x
601,1,second and third toes right foot,x
602,1,not webbed,x
603,1,second and third toes both feet,x
604,Phenotype,Thyroid Issues/Cancer,Thyroid Issues/Cancer
605,6229,-,-
606,89,No thyroid issue no cancer issue,No
607,25,Hypothyroid,Yes
608,23,Hashimoto's and hypothyrodism,Yes
609,9,Goiter/nodules/hyperthyroid,Yes
610,8,Suspect,U
611,5,Nodules,U
612,2,Yes swings from one extreme to the other,Yes
613,2,Haplogroup J1c2c,Yes
614,2,Hashimoto's and papillary cancer,Yes
615,2,Uterine cancer,U
616,2,Breast,U
617,1,yes swings from one extreme to the other,U
618,1,Hashimoto's and Hypothyrodism,Yes
619,1,goiter/nodules/hyperthyroid,Yes
620,1,nodules,U
621,1,hashimoto's and papillary cancer,Yes
622,1,no thyroid issue no cancer issue,No
623,1,No,No
624,Phenotype,Purposefulness ,x
625,6270,-,x
626,62,Purposeful,x
627,56,Sporadically purposeful,x
628,11,No,x
629,2,Don't understand the question,x
630,1,Sporadically Purposeful,x
631,1,very purposeful,x
632,1,Very purposeful,x
633,1,Mind wanders constantly little spatial awareness ,x
634,Phenotype,Right Atrial Enlargement,x
635,6375,-,x
636,26,None,x
637,1,none,x
638,1,Mild but left atria,x
639,1,No runs in family.,x
640,1,Mild,x
641,Phenotype,mtDNA Haplogroup (PhyloTree),x
642,6036,-,x
643,16,H1,x
644,11,H,x
645,8,H3,x
646,7,H1c1,x
647,7,T2b,x
648,6,H1n,x
649,6,T2 ,x
650,6,I don't know ,x
651,5,K1c2,x
652,5,U5,x
653,5,U3a1c1,x
654,4,U5a1b1,x
655,4,U5a2b,x
656,4,U8a1a1b,x
657,4,K1a3a3,x
658,4,H1c,x
659,4,H4a1,x
660,4,H1ay,x
661,4,H2a2a1,x
662,4,H15a1,x
663,4,B2,x
664,4,H6,x
665,4,L2a1c1,x
666,3,A2,x
667,3,J2a1a,x
668,3,U3b,x
669,3,L1b1a,x
670,3,U8a1a3,x
671,3,J1c1 ,x
672,3,B2c,x
673,3,J1c3,x
674,3,H3-T152C!,x
675,3,T1a1,x
676,3,U2e1*,x
677,3,N1a1a1a,x
678,3,H1e,x
679,3,V,x
680,3,X2b,x
681,3,T2b7a1,x
682,3,U4a2,x
683,2,K1c1,x
684,2,k2b1a1,x
685,2,H23,x
686,2,H1b,x
687,2,H67,x
688,2,U5a1d1,x
689,2,J1c7a,x
690,2,K1a4,x
691,2,T2b4,x
692,2,H6a1a,x
693,2,H1g,x
694,2,J1c3c,x
695,2,U3a,x
696,2,You act like we all are geneologist,x
697,2,U5b2a1b,x
698,2,X2e2a,x
699,2,U5b2a2b1,x
700,2,H1c3,x
701,2,H3f,x
702,2,K2a2a,x
703,2,K1a1b1a,x
704,2,H1e1a,x
705,2,U2e1a,x
706,2,H11a2a,x
707,2,R0a,x
708,2,V3,x
709,2,H26,x
710,2,U5a1a1,x
711,2,T2a1a,x
712,2,L2a1c,x
713,2,J2a1a1a2,x
714,2,T2a,x
715,1,J1c2c,x
716,1,U5a2,x
717,1,I,x
718,1,H5b1,x
719,1,HV6,x
720,1,H17,x
721,1,C5c1a,x
722,1,X2m,x
723,1,X2-G225A,x
724,1,h1a1,x
725,1,U5b1d1,x
726,1,J1c5,x
727,1,H66a,x
728,1,H29 from James Lick's website,x
729,1,HV-16311C,x
730,1,S2,x
731,1,K2b1,x
732,1,H5a1a,x
733,1,K1a4a1a2,x
734,1,K1c1b,x
735,1,j2a2b2,x
736,1,U8a1a1a,x
737,1,K1a,x
738,1,i3a1,x
739,1,H35,x
740,1,H2a1,x
741,1,J1c2,x
742,1,H7,x
743,1,HV1B2,x
744,1,U7b,x
745,1,J1C,x
746,1,H19,x
747,1,P9a2,x
748,1,U4C1,x
749,1,J1b1a,x
750,1,R8a1a3 many H1a calls,x
751,1,H2a5b2,x
752,1,K2A6,x
753,1,H4a1a4b,x
754,1,M33a2,x
755,1,W4A1,x
756,1,H7b6,x
757,1,H h30 on james lick's site,x
758,1,j1c ,x
759,1,H7i1,x
760,1,T2a1,x
761,1,K1a1,x
762,1,Hv0,x
763,1,H27,x
764,1,D4,x
765,1,H13a2,x
766,1,Hv6,x
767,1,D5c,x
768,1,K1a4a1a,x
769,1,U1b,x
770,1,J2a1a1b,x
771,1,K1a1b2a,x
772,1,U5a1c1,x
773,1,U4c1a,x
774,1,H7b4,x
775,1,H6a1b2,x
776,1,U5a1d2a,x
777,1,K2a,x
778,1,J1c2c1,x
779,1,HV9a,x
780,1,L1b1a10,x
781,1,H11,x
782,1,X2C1,x
783,1,M2a1a,x
784,1,H36a,x
785,1,H H30 on James Lick's site,x
786,1,X2b4,x
787,1,H1b2,x
788,1,H1a1c,x
789,1,m7b3a,x
790,1,I2 ,x
791,1,H1BM,x
792,1,H5a1,x
793,1,H1b1,x
794,1,H18,x
795,1,j1c3,x
796,1,U4a3,x
797,1,L0a1a,x
798,1,U8a1,x
799,1,U5b1d1b,x
800,1,H5b2,x
801,1,J2a1a1a3,x
802,1,H2a2b4,x
803,1,H7f,x
804,1,L2b2,x
805,1,H1ax,x
806,1,R0a2,x
807,1,D1e,x
808,1,J1C2o,x
809,1,T2B2,x
810,1,L3e2a1b1,x
811,1,HV2A,x
812,1,T2b7a2,x
813,1,U5a1b,x
814,1,H4,x
815,1,C1b12,x
816,1,H7a,x
817,1,I3a,x
818,1,H10a1,x
819,1,J1C2C1,x
820,1,J1c3e1,x
821,1,V1a,x
822,1,U2c,x
823,1,j1b1a,x
824,1,U5b1d,x
825,1,T2c1,x
826,1,HV0,x
827,1,I1a1,x
828,1,X X2 X2c X2c1 N L1234&6,x
829,1,U2e,x
830,1,L2b1a,x
831,1,U3a1,x
832,1,H1h1,x
833,1,H1h,x
834,1,I2a,x
835,1,K1a2a,x
836,1,M1a3a,x
837,1,U5a1a1h,x
838,1,J2B1,x
839,Phenotype,Lactose intolerance,Lactose intolerance
840,5668,-,-
841,255,Lactose-tolerant,Lactose-tolerant
842,116,Lactose tolerant,Lactose-tolerant
843,96,Lactose-intolerant,Lactose-intolerant
844,69,Partially lactose intolerant - surfaces with a lot of dairy products in one day,U
845,56,lactose-tolerant,Lactose-tolerant
846,34,False,Lactose-tolerant
847,21,No,Lactose-tolerant
848,19,Genetically intolerant but drink raw milk and eat lots of dairy.,U
849,16,Genetically intolerant partial intolerance.,U
850,10,Slight lactose intolerance,Lactose-intolerant
851,9,lactose-intolerant,Lactose-intolerant
852,5, allergic to all forms of dairy ,Lactose-intolerant
853,5,Only with cows milk products,U
854,4,Genetically tolerant-extrememly lactose intolerant,U
855,3,Lactose intolerant,Lactose-intolerant
856,2,Problems if i drink more 1 liter milk,Lactose-intolerant
857,2,Lactose intolerance appearing with age at mid 40s.,U
858,2,Lactose tolerant till my 40s then became very intolerant.  genetics says i am intolerant.,U
859,2,lactose tolerant till my 40s then became very intolerant.  Genetics says I am Intolerant.,U
860,2,rs4988235,U
861,2,lactose tolerant,Lactose-tolerant
862,2,AA,U
863,1,No but I seem to have less inflammation in joints if avoid milk products,U
864,1,severe GI pain ,U
865,1, Allergic to all forms of dairy ,Lactose-intolerant
866,1,Genetically tolerant but am intolerant,U
867,1,Severe gi pain ,U
868,Phenotype,"Light-skinned, European Ancestry (rs14256654)",x
869,6351,-,x
870,23,Rs1426654 a/a,x
871,21,Yes ,x
872,4,Yes but multi-racial rs1426654(aa),x
873,2,Caucasian,x
874,1,Yes but multi-racial rs1426654(AA),x
875,1,yes ,x
876,1,rs1426654 AA  West Eurasian indicator,x
877,1,This is a genotype not a phenotype,x
878,Phenotype,Fainting Upon Seeing Blood/Gore/Violence,x
879,6130,-,x
880,235,No,x
881,17,Very woosey almost fainted ,x
882,9,Yes,x
883,6,Makes me tense,x
884,4,How does anyone with menses faint at blood,x
885,1,very woosey almost fainted ,x
886,1,sometimes,x
887,1,Sometimes,x
888,1,fainted as a child. Now i just feel sick,x
889,Phenotype,Erythromycin allergy,x
890,6261,-,x
891,101,No,x
892,22,No idea,x
893,19,Yes,x
894,1,Possibly ,x
895,1,Erythromycin is the only drug allergy: come up in itchy hives.,x
896,Phenotype,Crohn's Disease +rs2241880,x
897,6379,-,x
898,6,No (aa),x
899,5,No (ag),x
900,4,Not diagnosed but have rs2241880(cc),x
901,3,Rs2241880(gg),x
902,3,Unknown,x
903,2,rs2241880(CT),x
904,1,Not diagnosed but have rs2241880(CC),x
905,1,No (AA),x
906,1,unknown,x
907,Phenotype,ethnicity,x
908,5970,-,x
909,59,Caucasian,x
910,40,Northern european & english/scottish,x
911,26,Mixed,x
912,14,Caucasion,x
913,11,Northeastern european + eastern european + caucasus,x
914,11,Russian,x
915,10,caucasion,x
916,10,Hispanic or mexican american,x
917,9,Italian,x
918,8,American ,x
919,8,Ashkenazi,x
920,7,English,x
921,7,Finnish,x
922,7,Scandinavian,x
923,6,Iberian,x
924,6,German italian irish scottish,x
925,6,United kingdom,x
926,5,Irish/european/unknown,x
927,5,Irish,x
928,4,American,x
929,4,South asian,x
930,4,German french northern european,x
931,4,Spanish,x
932,4,Scandinavian western europe british isles italic central europe,x
933,4,Northern european brit and irish,x
934,4,German + Czech,x
935,4,Scottish/Irish/Norwegian/English/Italian/Slavic/Eastern Middle Eastern/Ashkenazi,x
936,4,Romanian,x
937,4,Irish/northern european/scottish,x
938,3,Anglo-scots-irish,x
939,3,Jewish african indigenous and european,x
940,3,Swedish,x
941,3,Adopted,x
942,3,French canadian,x
943,3,Swedish + unknown,x
944,3,Scottish english german french other european,x
945,3,Turk,x
946,3,Bulgarian,x
947,3,Portuguese,x
948,3,Chinese,x
949,2,Ashkenazi Europe West 48,x
950,2,French,x
951,2,Spanish - Basque - North italian - South native american,x
952,2,Filipino,x
953,2,adopted,x
954,2,korean,x
955,2,1/2 Polish 3/8 British 1/8 Irish,x
956,2,Scottish,x
957,2,African american,x
958,2,Mutt,x
959,2,Hispanic German Portugese Indigenous (born in Paraguay/ mother & father both born in Paraguay too),x
960,2,Asian,x
